Date,CAN,FRA,DEU,ITA,JPN,GBR,CAN_diff,FRA_diff,DEU_diff,ITA_diff,JPN_diff,GBR_diff
2000-12-31,30.647,58.858,81.457,56.924,126.831,58.886,,,,,,
2001-12-31,30.971,59.267,81.518,56.961,127.132,59.113,1.010571997,1.006948928,1.000748861,1.000649989,1.002373237,1.003854906
2002-12-31,31.309,59.686,81.579,56.999,127.4,59.366,1.010913435,1.007069702,1.000748301,1.000667123,1.002108045,1.004279938
2003-12-31,31.603,60.102,81.549,57.2,127.634,59.637,1.009390271,1.006969809,0.9996322583,1.003526378,1.001836735,1.004564902
2004-12-31,31.901,60.505,81.457,57.625,127.734,59.95,1.009429485,1.006705268,0.9988718439,1.00743007,1.00078349,1.00524842
2005-12-31,32.204,60.963,81.337,58.065,127.752,60.413,1.009498135,1.007569622,0.9985268301,1.007635575,1.000140918,1.007723103
2006-12-31,32.529,61.4,81.174,58.316,127.746,60.827,1.010091914,1.007168282,0.997995992,1.004322742,0.999953034,1.00685283
2007-12-31,32.849,61.795,80.993,58.54,127.757,61.319,1.009837376,1.006433225,0.997770222,1.003841141,1.000086108,1.008088513
2008-12-31,33.199,62.135,80.764,59.034,127.692,61.824,1.010654814,1.005502063,0.9971725952,1.008438674,0.9994912216,1.00823562
2009-12-31,33.581,62.466,80.483,59.449,127.551,62.261,1.011506371,1.00532711,0.9965207271,1.007029847,0.9988957805,1.007068452
2010-12-31,33.958,62.765,80.285,59.707,127.594,62.76,1.011226586,1.004786604,0.9975398531,1.004339854,1.00033712,1.008014648
2011-12-31,34.298,63.07,80.276,59.952,127.831,63.285,1.010012368,1.004859396,0.9998878994,1.004103371,1.001857454,1.008365201
2012-12-31,34.665,63.376,80.427,60.168,127.552,63.705,1.010700332,1.004851752,1.001881011,1.003602882,0.9978174308,1.006636644
2013-12-31,35.034,63.698,80.647,60.51,127.333,64.106,1.010644743,1.005080788,1.0027354,1.005684085,0.9982830532,1.006294639
2014-12-31,35.392,64.028,80.983,60.783,127.12,64.597,1.010218645,1.005180696,1.004166305,1.004511651,0.9983272208,1.007659189
2015-12-31,35.678,64.301,81.687,60.796,126.978,65.11,1.008080922,1.00426376,1.008693183,1.000213876,0.9988829452,1.007941545
2016-12-31,36.052,64.469,82.349,60.666,126.96,65.648,1.01048265,1.002612712,1.008104105,0.9978617014,0.9998582432,1.00826294
2017-12-31,36.489,64.618,82.657,60.589,126.746,66.04,1.01212138,1.002311188,1.003740179,0.9987307553,0.9983144297,1.005971241
2018-12-31,36.994,64.725,82.886,60.484,126.494,66.466,1.013839787,1.001655885,1.002770485,0.9982670122,0.9980117716,1.006450636
2019-12-31,37.465,65.021,82.952,60.74,126.184,66.867,1.012731794,1.004573194,1.000796274,1.004232524,0.9975492909,1.00603316
2020-12-31,37.821,65.319,82.96,60.719,125.751,67.255,1.009502202,1.004583135,1.000096441,0.9996542641,0.9965685031,1.005802563
